2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
18382625+1711496,CGCG 114-025,279.60938,17.19715,46.96805,10.54574,9.742,0.04,0.016885097,0.01648956,0.000441973,69.53128089,1.863661371,-3,0,2,7325.7,163.377171,0,0,8466.235404,5.3871E+40,0.057083333,0.033194444,0,0.018653823,0.014267093,0,279.6074417,17.19973363,279.6118123,17.19557389,j
18403862-7709285,ESO 045- G 011,280.16086,-77.15794,317.20853,-25.80208,9.473,0.028,0.018169325,0.017324578,0.00046699,73.09841467,1.970395019,-5,1,0,0,0,1152,34.6,982.0043527,6.90611E+39,0,0,1,0.000501598,0.000501598,0,280.1637295,-77.15987574,280.1639914,-77.15672654,p
18405544-7555373,2MASX J18405544-7555373,280.23105,-75.92705,318.55948,-25.61828,10.62,0.056,0.041639009,0.041861214,0.000500347,179.8723396,2.14992723,-5,2,0,0,0,852.9,20.89258242,727.0412434,3.09594E+40,0.010944444,0.010944444,0,0.028173513,0.001721347,0,280.2315304,-75.93488359,280.2564552,-75.93813634,j
18420899+7946170,3C 390.3,280.53748,79.77142,111.43791,27.0741,11.544,0.036,0.056099082,0.05865132,0.000500347,255.0826314,2.176077174,98,0,2,11555.9,280.5708823,0,0,13355.03361,1.1437E+42,0.046861111,0.035361111,0,0.02340686,0.021266733,0.010220705,280.5362735,79.77378112,280.5560972,79.7824088,j
18440241+4533298,3C 388,281.01001,45.55825,74.70473,20.22266,11.742,0.06,0.091700551,0.097172855,0.000500347,434.0366644,2.234872001,98,0,1,5596.8,185.4,0,0,6468.163631,1.60376E+42,0.009694444,0.009694444,0,0.000679301,0.000679301,0.001182862,281.0116936,45.55834794,281.0116936,45.55834794,p
18473481+7044010,UGC 11363 NED01,281.89502,70.73358,101.43365,25.81022,10.893,0.058,0.043740473,0.045633765,0.000500347,196.6209276,2.155830628,-2,0,4,258.9,7.136525765,0,0,299.208041,1.52243E+40,0.069777778,0.027833333,0,0.027790683,0.002017421,0,281.8816176,70.74047304,281.8814861,70.73630559,j
18562225-7932421,PKS 1847-79,284.09271,-79.545,314.66602,-26.86492,10.985,0.08,0.070782645,0.072794191,0.000500347,319.7606105,2.197857045,-5,1,0,0,0,748.2,25.8,637.7913686,8.58288E+40,0.014388889,0.014388889,0,0.000455738,0.000455738,0,284.1058885,-79.56437445,284.0908922,-79.54261019,j
18573750+3800322,CGCG 201-045,284.40628,38.00895,68.23515,15.18055,10.414,0.042,0.055205126,0.057612854,0.000500347,250.3810315,2.174469053,-5,0,1,299.9,9,0,0,346.5913152,2.85973E+40,0.004944444,0.004944444,1,0.000297982,0.000297982,0.001950161,284.4076957,38.01054966,284.4024073,38.01052183,p
19131601+4706494,2MASX J19131601+4706494,288.31668,47.11375,78.10688,16.05165,11.36,0.057,0.05484154,0.057310989,0.000500347,249.0155768,2.174001369,98,0,4,361.2,7.822403723,0,0,417.4350885,3.4068E+40,0.092083333,0.035277778,0,0.048648318,0.002155192,0.001358163,288.3098447,47.11652563,288.3091824,47.13735644,j
19133446+4201330,2MASX J19133446+4201330,288.39362,42.02578,73.29677,13.97569,10.956,0.053,0.054434589,0.056851834,0.000500347,246.9397037,2.173289799,-2,0,4,791.3,16.38749523,0,0,914.4971915,7.33953E+40,0.060277778,0.019555556,0,0.044229716,0.013974354,0.005641326,288.3785608,42.03361042,288.3784545,42.03777876,j
19145766-2552012,2MASX J19145766-2552012,288.74026,-25.86705,11.78348,-16.31919,11.099,0.066,0.062853788,0.064986278,0.000500347,283.9049574,2.185860829,-5,0,5,983.1,18.10580018,0,0,1136.158459,1.20528E+41,0.1055,0.035333333,0,0.081109218,0.000867397,0.001898619,288.7039357,-25.87792052,288.708492,-25.86539311,j
19204300-3831059,2MASX J19204300-3831059,290.1792,-38.51834,359.68137,-21.8814,11.544,0.078,0.045191483,0.046089877,0.000500347,198.6518102,2.156543273,98,0,2,242,7.21734023,0,0,279.6768866,1.4526E+40,0.026027778,0.020722222,0,0.025590656,0.0004456,0.002459821,290.1810601,-38.51635691,290.175745,-38.5205333,p
19260570-5740166,PKS 1921-577,291.52386,-57.6713,339.39975,-27.19382,11.712,0.08,0.060965806,0.062517291,0.000500347,272.6429525,2.182053133,98,2,0,0,0,1628.3,40.88532744,1388.018826,1.35796E+41,0.046027778,0.025805556,0,0.022571995,0.01756198,0.010460829,291.5191838,-57.67552604,291.5368216,-57.66848438,j
19264081+4123284,2MASX J19264081+4123284,291.66998,41.39114,73.7729,11.49196,11.671,0.069,0.068504391,0.071901007,0.000500347,315.6404508,2.19648822,98,0,2,218.7,6.168468205,0,0,252.7493186,3.31421E+40,0.041583333,0.030527778,0,0.023506692,0.005310566,0,291.7002285,41.4088145,291.6775746,41.39246185,j
19281700-2931442,ESO 460- G 004,292.07086,-29.52901,9.33784,-20.4077,9.694,0.038,0.024417011,0.024689218,0.000500347,104.7504377,2.122851953,-2,0,4,2136.1,41.7269697,0,0,2468.668584,3.56516E+40,0.045805556,0.015666667,0,0.036475854,0.00205507,0,292.0814046,-29.52515656,292.0909816,-29.52515068,j
19300192-1509191,2MASX J19300192-1509191,292.508,-15.15535,23.45111,-15.25921,11.494,0.069,0.082033817,0.085932705,0.000500347,380.9140527,2.217888506,98,0,3,1492,37.3217095,0,0,1724.288904,3.29282E+41,0.048527778,0.035222222,0,0.015557863,0.003534351,0.002255526,292.5007513,-15.15355365,292.5050582,-15.14937646,j
19332496-3940214,ESO 338-IG 011 NED02,293.35413,-39.67254,359.25827,-24.57424,11.224,0.062,0.075065629,0.077964227,0.000500347,343.7027052,2.205762615,-3,2,5,2508.5,57.6511058,3818,89.98294283,3254.594287,5.06019E+41,0.05475,0.02125,0,0.018725259,0.004477084,0.006567237,293.354045,-39.67580258,293.3487306,-39.67155948,j
19391958-3540497,2MASX J19391958-3540497,294.83157,-35.68044,3.83246,-24.57707,11.503,0.067,0.087694427,0.091840336,0.000500347,408.7424926,2.226832371,98,1,1,358.7,12.7,522.9,15.9,445.7379132,9.8013E+40,0.004222222,0.004222222,0,0.000462859,0.000230145,0,294.8290286,-35.67885454,294.8290286,-35.67885454,p
19403422+7647464,MCG +13-14-006,295.14255,76.79633,108.83318,23.621,11.679,0.077,0.053036949,0.055441989,0.000500347,240.5736826,2.171103416,98,0,8,596.7,8.986656775,0,0,689.5999926,5.25288E+40,0.142166667,0.027027778,0,0.044423527,0.002078041,0.002363744,295.1090585,76.79335783,295.1632262,76.79517571,u
19414211+5037571,UGC 11465,295.42551,50.63249,83.42976,13.27957,9.351,0.031,0.023716523,0.024915563,0.000500347,105.728646,2.123211012,-3,0,4,3103.5,63.29684036,0,0,3586.682717,5.27695E+40,0.085166667,0.031277778,0,0.058495275,0.00193001,0.021087304,295.4249944,50.61183685,295.4057956,50.62874866,j
19452422-5520488,NGC 6812,296.35095,-55.3469,342.3949,-29.54838,9.065,0.02,0.015150555,0.014133167,0.000408617,59.48880654,1.719934204,-2,1,0,0,0,596.3,17.9,508.3065933,2.36756E+39,0,0,1,6.49542E-05,6.49542E-05,0,296.3648968,-55.34304521,296.3490006,-55.34704162,p
