level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
1560,561,Hercules,0.136,247.758,12.7917,28.728,36.8713,11.7
1561,562,NGC 278,39.15,255.21,23.0111,43.5695,33.9452,197.2
1563,564,NGC 411,48.917,263.887,60.8133,89.7306,32.6288,150.1
1564,565,NGC 547,40.8,271.292,25.2325,51.4412,20.8438,180.7
1569,570,NGC 798,37.5,291.013,53.6247,85.0613,16.9941,130.0
1570,571,NGC 909,34.36,306.912,-47.0269,352.814,-35.5134,143.8
1571,572,Aquarius,2.463,311.716,-12.8481,34.0491,-31.3432,15.8
1572,573,NGC 280,23.06,336.615,16.1483,79.5428,-34.2383,105.7
1574,575,NGC 332,15.89,339.352,23.7983,87.3888,-29.669,125.0
1575,576,Tucana,0.889,340.457,-64.4194,322.908,-47.3694,7.9
1577,578,Pisces_II,0.182,344.629,5.9525,79.2063,-47.1058,7.6
1578,579,NGC 457,12.883,345.25,30.145,96.2178,-26.9358,74.6
1580,581,NGC 465,27.2,345.504,15.9647,88.0691,-39.3874,95.7
1581,582,NGC 507,22.5,348.032,-28.5397,23.4428,-68.0383,222.6
1582,583,AGC 330144,71.05,348.7,7.71833,85.6016,-48.025,87.0
1583,584,UGC 454,54.761,348.781,9.67278,87.243,-46.4175,159.0
1584,585,NGC 557,54.761,348.916,6.70833,85.0374,-48.9874,74.0
1585,586,NGC 562,47.9,348.99,6.6875,85.1132,-49.0451,243.0
1586,587,NGC 569,91.704,349.185,8.90556,87.1479,-47.2798,-9.9
1603,604,AGC 330476,30.4,352.121,19.8639,97.5986,-38.8928,95.3
1605,606,AGC 330499,30.141,352.515,26.0111,100.962,-33.3652,177.0
1704,705,AGC 330889,30.141,356.447,27.3392,105.458,-33.2953,119.0
1705,706,AGC 331333,30.141,356.753,27.2631,105.741,-33.449,-9.9
1706,707,AGC 331343,34.0,356.91,27.52,105.991,-33.2442,-9.9
1707,708,AGC 330924,96.085,356.942,27.6817,106.08,-33.0981,-9.9
1708,709,UGC 785,10.5,357.003,27.3753,106.035,-33.4068,-9.9
1709,710,AGC 331345,30.141,357.005,27.5494,106.098,-33.2408,-9.9
1710,711,AGC 331416,30.141,357.007,27.6239,106.125,-33.1699,-9.9
1711,712,Andromeda_VI,0.837,357.943,24.5825,106.042,-36.3246,10.0
1712,713,Andromeda_XXI,0.843,358.699,42.4708,111.917,-19.1862,5.4
1713,714,NGC 785,49.35,358.829,5.91583,98.5382,-54.2763,267.9
