id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
191 , 5BZBJ0111+0536 , BL Lac Candidate , 17.87575 , 5.60758 , 0.346 ,  , 16 ,  , 18.8 , 2.08 , 
192 , 5BZUJ0111+3906 , Blazar Uncertain type , 17.90546 , 39.10781 , 0.668 ,  , 429 ,  , 22 , 0.03 , 
193 , 5BZQJ0111-1317 , QSO RLoud flat radio sp. , 17.98692 , -13.28364 , 2.42 ,  , 256 ,  , 21.3 ,  , 
194 , 5BZBJ0112+2244 , BL Lac , 18.02425 , 22.74411 , 0.265 ,  , 385 ,  , 14.8 , 1.93 , 7.1e-9
195 , 5BZQJ0112+2020 , QSO RLoud flat radio sp. , 18.04246 , 20.33939 , 0.746 ,  , 471 ,  , 17.2 , 0.45 , 
196 , 5BZQJ0112+3522 , QSO RLoud flat radio sp. , 18.05392 , 35.37203 , 0.45 ,  , 399 ,  , 18.3 , 0.63 , 
197 , 5BZQJ0112+3818 , QSO RLoud flat radio sp. , 18.07521 , 38.31581 , 0.333 ,  , 58 ,  , 16.7 , 0.6 , 
198 , 5BZQJ0112-6634 , QSO RLoud flat radio sp. , 18.07879 , -66.57922 , 1.189 ,  , 450 ,  , 17.5 ,  , 
199 , 5BZBJ0112-3201 , BL Lac , 18.1365 , -32.02836 ,  ,  , 4 ,  , 19.8 , 0.85 , 
200 , 5BZQJ0112+3208 , QSO RLoud flat radio sp. , 18.20971 , 32.13817 , 0.603 ,  , 685 ,  , 16.4 , 4.38 , 4.6e-9
201 , 5BZQJ0113-3551 , QSO RLoud flat radio sp. , 18.31604 , -35.86331 , 1.22 ,  , 180 , 478 , 19.9 ,  , 4e-10
202 , 5BZQJ0113+4948 , QSO RLoud flat radio sp. , 18.3625 , 49.80667 , 0.389 ,  , 667 , 465 , 17.8 , 0.77 , 9e-10
203 , 5BZGJ0113+0222 , BL Lac-galaxy dominated , 18.42975 , 2.37147 , 0.047 ,  , 491 ,  , 14.6 , 0.55 , 
204 , 5BZQJ0113+1324 , QSO RLoud flat radio sp. , 18.47712 , 13.41458 , 0.685 ,  , 248 ,  , 18.8 , 0.31 , 
205 , 5BZBJ0114+1325 , BL Lac , 18.71988 , 13.42708 ,  ,  , 63 ,  , 17.4 , 0.48 , 1.2e-9
206 , 5BZBJ0115-3400 , BL Lac , 18.75717 , -34.00756 , 0.482 ,  , 6 ,  , 19.1 , 1.13 , 
207 , 5BZQJ0115-0127 , QSO RLoud flat radio sp. , 18.82125 , -1.45128 , 1.381 ,  , 1076 ,  , 17.8 , 0.56 , 
208 , 5BZQJ0115-2804 , QSO RLoud flat radio sp. , 18.8495 , -28.082 , 2.579 ,  , 439 ,  , 19.8 ,  , 
209 , 5BZBJ0115+0356 , BL Lac , 18.91879 , 3.94536 ,  ,  , 99 ,  , 16.7 , 0.56 , 1.5e-9
210 , 5BZBJ0115+2519 , BL Lac , 18.94229 , 25.3315 ,  ,  , 38 ,  , 17.3 , 2.07 , 1.3e-9
211 , 5BZQJ0115-3049 , QSO RLoud flat radio sp. , 18.94342 , -30.82197 , 1.414 ,  , 328 ,  , 19.8 ,  , 
212 , 5BZQJ0116-1136 , QSO RLoud flat radio sp. , 19.05217 , -11.60428 , 0.671 ,  , 1785 , 919 , 17.7 , 0.9 , 1.5e-9
213 , 5BZBJ0116-6153 , BL Lac , 19.08175 , -61.89542 ,  ,  , 27 ,  , 17.8 ,  , 3e-10
214 , 5BZQJ0117+1418 , QSO RLoud flat radio sp. , 19.355 , 14.30344 , 0.839 ,  , 173 ,  , 20.8 ,  , 
215 , 5BZQJ0117-3357 , QSO RLoud flat radio sp. , 19.43583 , -33.95139 , 0.647 ,  , 415 ,  , 19.8 , 0.07 , 
216 , 5BZBJ0117-2443 , BL Lac , 19.44583 , -24.72603 , 0.279 ,  , 10 ,  , 17 , 1.97 , 
217 , 5BZQJ0117-2111 , QSO RLoud flat radio sp. , 19.45325 , -21.18519 , 1.49 ,  , 255 ,  , 17.2 ,  , 
218 , 5BZQJ0118-2141 , QSO RLoud flat radio sp. , 19.73858 , -21.69169 , 1.165 ,  , 447 , 756 , 17.6 , 0.14 , 4.3e-9
219 , 5BZBJ0120-2701 , BL Lac , 20.13192 , -27.02353 ,  ,  , 934 , 431 , 15.5 , 0.72 , 4.3e-9
220 , 5BZQJ0121-2806 , QSO RLoud flat radio sp. , 20.25308 , -28.10614 , 3.119 ,  , 122 ,  , 20 , 0.09 , 
221 , 5BZQJ0121+1127 , QSO RLoud flat radio sp. , 20.37083 , 11.45014 , 2.487 ,  , 46 ,  , 17.3 ,  , 
222 , 5BZQJ0121+1149 , QSO RLoud flat radio sp. , 20.42317 , 11.83072 , 0.57 ,  , 1184 ,  , 19.2 , 0.67 , 
223 , 5BZQJ0121+0422 , QSO RLoud flat radio sp. , 20.48692 , 4.37353 , 0.637 ,  , 1066 , 599 , 20 , 0.42 , 
224 , 5BZQJ0122+0310 , QSO RLoud flat radio sp. , 20.50796 , 3.16736 , 4 ,  , 98 ,  , 20.8 , 0.28 , 
225 , 5BZBJ0122+1510 , BL Lac , 20.61408 , 15.17308 ,  ,  , 38 ,  , 19.7 ,  , 
226 , 5BZQJ0122+2502 , QSO RLoud flat radio sp. , 20.66171 , 25.04217 , 2.025 ,  , 714 ,  , 19.1 ,  , 
227 , 5BZQJ0122-0935 , QSO RLoud flat radio sp. , 20.70029 , -9.59639 , 0.784 ,  , 37 ,  , 18.9 , 0.28 , 
228 , 5BZBJ0123+3420 , BL Lac , 20.78596 , 34.34681 , 0.272 ,  , 44 ,  , 17.9 , 25.3 , 4e-10
229 , 5BZBJ0123-2310 , BL Lac Candidate , 20.90979 , -23.18294 , 0.404 ,  , 27 ,  , 17.6 , 5.59 , 
230 , 5BZGJ0123+4210 , BL Lac-galaxy dominated , 20.91871 , 42.16856 , 0.186 ,  , 20 ,  , 17.6 , 1.96 , 
231 , 5BZQJ0123+2615 , QSO RLoud flat radio sp. , 20.92933 , 26.25622 , 0.849 ,  ?  , 183 ,  , 18.9 , 0.31 , 
232 , 5BZBJ0124+3249 , BL Lac Candidate , 21.12733 , 32.82953 ,  ,  , 14 ,  , 19.5 , 0.99 , 
233 , 5BZBJ0124+0918 , BL Lac , 21.1855 , 9.31369 , 0.338 ,  , 2 ,  , 19.1 , 0.21 , 
234 , 5BZBJ0124-0625 , BL Lac , 21.21033 , -6.41692 ,  ,  , 41 ,  , 19.1 ,  , 6e-10
235 , 5BZQJ0124+2805 , QSO RLoud flat radio sp. , 21.23283 , 28.0865 , 0.71 ,  , 217 ,  , 18.4 ,  , 
236 , 5BZQJ0124-5113 , QSO RLoud flat radio sp. , 21.23896 , -51.22125 , 1.104 ,  , 251 ,  , 19.6 ,  , 
237 , 5BZQJ0125+0146 , QSO RLoud flat radio sp. , 21.27292 , 1.77414 , 1.559 ,  , 187 ,  , 19.1 , 0.18 , 
238 , 5BZBJ0125-2549 , BL Lac , 21.3285 , -25.81789 ,  ,  , 166 ,  , 19.2 ,  , 
239 , 5BZQJ0125-0005 , QSO RLoud flat radio sp. , 21.37017 , -0.09886 , 1.077 ,  , 1540 ,  , 16.5 , 0.92 , 
240 , 5BZQJ0126-2222 , QSO RLoud flat radio sp. , 21.5625 , -22.376 , 0.717 ,  , 612 ,  , 18.3 , 0.23 , 
241 , 5BZQJ0126+2559 , QSO RLoud flat radio sp. , 21.67829 , 25.98367 , 2.358 ,  , 1003 , 330 , 18.1 , 0.69 , 
242 , 5BZBJ0126+3307 , BL Lac , 21.73846 , 33.12508 ,  ,  , 7 ,  , 19.3 , 1.96 , 
243 , 5BZBJ0127-8108 , BL Lac , 21.79254 , -81.13908 ,  ,  , 1075 ,  , 16.7 , 6.76 , 
244 , 5BZBJ0127-0151 , BL Lac Candidate , 21.79612 , -1.86494 ,  ,  , 17 ,  , 19 , 0.3 , 
245 , 5BZBJ0127-0821 , BL Lac , 21.81796 , -8.35803 , 0.36 ,  ?  , 112 ,  , 18.7 , 0.11 , 
246 , 5BZBJ0127-0013 , BL Lac , 21.96179 , -0.22961 , 0.44 ,  , 7 ,  , 19.4 , 0.14 , 
247 , 5BZGJ0128+4901 , BL Lac-galaxy dominated , 22.03358 , 49.01833 , 0.067 ,  , 206 , 995 , 15.6 , 1.7 , 
248 , 5BZUJ0128+4439 , Blazar Uncertain type , 22.17225 , 44.655 , 0.228 ,  , 40 ,  , 20.3 ,  , 6e-10
249 , 5BZQJ0130-1019 , QSO RLoud flat radio sp. , 22.53708 , -10.31881 , 1.005 ,  , 101 ,  , 17.8 , 0.18 , 
250 , 5BZQJ0130+0842 , QSO RLoud flat radio sp. , 22.61517 , 8.71283 , 0.725 ,  , 210 ,  , 20.5 ,  , 
251 , 5BZBJ0131+6120 , BL Lac , 22.78013 , 61.34261 ,  ,  , 20 ,  , 18.8 , 4.25 , 2.7e-9
252 , 5BZQJ0131+3834 , QSO RLoud flat radio sp. , 22.86129 , 38.57756 , 1.277 ,  , 185 ,  , 21.4 ,  , 
253 , 5BZQJ0132-1654 , QSO RLoud flat radio sp. , 23.18113 , -16.91344 , 1.02 ,  , 830 , 791 , 18.6 , 0.27 , 2.1e-9
254 , 5BZUJ0133-5200 , Blazar Uncertain type , 23.274 , -52.00108 ,  ,  , 352 , 218 , 17.8 , 0.88 , 
255 , 5BZBJ0133-4414 , BL Lac , 23.27654 , -44.23928 ,  ,  , 65 ,  , 18.1 ,  , 5e-10
256 , 5BZBJ0134+2638 , BL Lac , 23.61746 , 26.64525 ,  ,  , 31 ,  , 17 , 0.91 , 9e-10
257 , 5BZQJ0134-3843 , QSO RLoud flat radio sp. , 23.63346 , -38.72594 , 2.14 ,  ?  , 569 , 412 , 17.7 , 0.62 , 
258 , 5BZQJ0135-2008 , QSO RLoud flat radio sp. , 23.90629 , -20.14608 , 1.141 ,  , 559 ,  , 18.1 ,  , 
259 , 5BZQJ0136-4044 , QSO RLoud flat radio sp. , 24.02758 , -40.73886 , 0.649 ,  , 123 ,  , 24.4 , 0.17 , 
260 , 5BZBJ0136+3905 , BL Lac , 24.13579 , 39.09978 ,  ,  , 60 ,  , 15.5 , 9.6 , 4.5e-9
261 , 5BZQJ0136+4751 , QSO RLoud flat radio sp. , 24.24413 , 47.85808 , 0.859 ,  , 1138 , 2811 , 18.1 , 1.04 , 7.2e-9
262 , 5BZQJ0137+3122 , QSO RLoud flat radio sp. , 24.28637 , 31.37661 , 1.716 ,  , 417 ,  , 21 ,  , 
263 , 5BZQJ0137-2430 , QSO RLoud flat radio sp. , 24.40979 , -24.51497 , 0.835 ,  , 1181 , 1812 , 15.9 , 1.29 , 1e-9
264 , 5BZBJ0137+5814 , BL Lac , 24.46029 , 58.23647 ,  ,  , 171 ,  , 18.1 , 3.82 , 1.1e-9
265 , 5BZQJ0138-2711 , QSO RLoud flat radio sp. , 24.54092 , -27.19108 , 2.999 ,  , 261 ,  , 19.9 ,  , 
266 , 5BZBJ0138-1754 , BL Lac , 24.54875 , -17.90378 , 0.53 ,  , 17 ,  , 19.8 , 0.13 , 
267 , 5BZQJ0138-0540 , QSO RLoud flat radio sp. , 24.71604 , -5.66894 , 2.004 ,  , 263 ,  , 21.3 ,  , 
268 , 5BZQJ0138-2254 , QSO RLoud flat radio sp. , 24.73946 , -22.91314 , 1.895 ,  , 512 ,  , 17.6 ,  , 
269 , 5BZQJ0140-1532 , QSO RLoud flat radio sp. , 25.0185 , -15.54881 , 0.819 ,  , 233 ,  , 16.7 , 1.04 , 
270 , 5BZBJ0140-0758 , BL Lac , 25.17029 , -7.98031 ,  ,  , 25 ,  , 18.6 , 5.51 , 
271 , 5BZBJ0141-0928 , BL Lac , 25.35762 , -9.47881 , 0.73 ,  ?  , 657 ,  , 17.2 , 0.36 , 1.6e-9
272 , 5BZQJ0141-0202 , QSO RLoud flat radio sp. , 25.39079 , -2.03931 , 1.281 ,  , 126 ,  , 19.8 ,  , 
273 , 5BZUJ0141+3923 , Blazar Uncertain type , 25.49063 , 39.39144 , 0.08 ,  , 117 ,  , 12.5 , 0.53 , 
274 , 5BZBJ0142-0544 , BL Lac , 25.662 , -5.73369 ,  ,  , 456 ,  , 18.3 ,  , 
275 , 5BZQJ0143+4129 , QSO RLoud flat radio sp. , 25.76325 , 41.489 , 0.824 ,  , 184 ,  , 19.3 ,  , 
276 , 5BZUJ0143-3200 , Blazar Uncertain type , 25.79221 , -32.01575 , 0.375 ,  ?  , 76 ,  , 18.4 , 0.75 , 
277 , 5BZQJ0143-6813 , QSO RLoud flat radio sp. , 25.83008 , -68.22422 , 1.223 ,  , 20 ,  , 19 , 0.08 , 
278 , 5BZBJ0143-5845 , BL Lac , 25.94758 , -58.76428 ,  ,  , 28 ,  , 16.6 , 11.4 , 1.2e-9
279 , 5BZBJ0144+2705 , BL Lac , 26.13979 , 27.08419 ,  ,  , 217 ,  , 19.5 , 0.36 , 3.4e-9
280 , 5BZQJ0145-2733 , QSO RLoud flat radio sp. , 26.26413 , -27.55953 , 1.148 ,  , 923 , 894 , 17.5 , 0.5 , 2.1e-9
281 , 5BZGJ0146-0551 , BL Lac-galaxy dominated , 26.56754 , -5.85294 , 0.499 ,  , 405 ,  , 19.8 ,  , 
282 , 5BZQJ0146-2727 , QSO RLoud flat radio sp. , 26.66783 , -27.46117 , 1.732 ,  , 70 ,  , 20.5 ,  , 
283 , 5BZGJ0146-5202 , BL Lac-galaxy dominated , 26.70242 , -52.04264 , 0.098 ,  , 324 ,  , 11.5 , 0.49 , 
284 , 5BZQJ0148+3854 , QSO RLoud flat radio sp. , 27.10158 , 38.90144 , 1.442 ,  , 345 ,  , 17.4 ,  , 
285 , 5BZGJ0148+1402 , BL Lac-galaxy dominated , 27.12375 , 14.03833 , 0.125 ,  , 44 ,  , 17.3 , 0.33 , 
286 , 5BZBJ0148+0129 , BL Lac , 27.14079 , 1.48369 ,  ,  , 88 ,  , 19.6 ,  , 5e-10
287 , 5BZQJ0148+4215 , QSO RLoud flat radio sp. , 27.18575 , 42.25539 , 3.242 ,  , 55 ,  , 20.1 , 0.1 , 
288 , 5BZQJ0149+0555 , QSO RLoud flat radio sp. , 27.34321 , 5.93156 , 2.345 ,  , 906 ,  , 21 , 0.2 , 
289 , 5BZQJ0149+1857 , QSO RLoud flat radio sp. , 27.45717 , 18.95572 , 0.584 ,  , 287 ,  , 20.2 ,  , 
290 , 5BZQJ0151-3435 , QSO RLoud flat radio sp. , 27.84787 , -34.58719 , 1.31 ,  , 147 ,  , 21.2 , 0.19 , 
291 , 5BZQJ0151+2744 , QSO RLoud flat radio sp. , 27.86312 , 27.74494 , 1.26 ,  , 893 ,  , 20.7 ,  , 
292 , 5BZQJ0152+2207 , QSO RLoud flat radio sp. , 28.07525 , 22.11881 , 1.32 ,  , 1042 ,  , 18.9 , 0.41 , 
293 , 5BZQJ0152-1412 , QSO RLoud flat radio sp. , 28.13333 , -14.21094 , 1.35 ,  , 745 ,  , 19.8 , 0.28 , 
294 , 5BZQJ0152-2942 , QSO RLoud flat radio sp. , 28.14037 , -29.71331 , 1.221 ,  , 226 ,  , 18.5 ,  , 
295 , 5BZGJ0152+0147 , BL Lac-galaxy dominated , 28.165 , 1.78811 , 0.08 ,  , 61 ,  , 15 , 3.13 , 8e-10
296 , 5BZBJ0153+7517 , BL Lac Candidate , 28.28067 , 75.29522 ,  ,  , 21 ,  , 18.3 , 1.45 , 
297 , 5BZQJ0153-3310 , QSO RLoud flat radio sp. , 28.29217 , -33.17386 , 0.61 ,  , 1186 ,  , 17.2 , 0.43 , 
298 , 5BZGJ0153+7115 , BL Lac-galaxy dominated , 28.35771 , 71.25181 , 0.022 ,  , 578 ,  , 12 , 0.78 , 
299 , 5BZGJ0153-0118 , BL Lac-galaxy dominated , 28.39304 , -1.30233 , 0.245 ,  , 106 ,  , 17.7 , 1.42 , 
300 , 5BZBJ0154+0823 , BL Lac , 28.51154 , 8.39753 ,  ,  , 207 ,  , 17.1 , 1.15 , 1.8e-9
301 , 5BZQJ0154-5107 , QSO RLoud flat radio sp. , 28.58187 , -51.13097 , 1.582 ,  , 447 ,  , 17.9 ,  , 
302 , 5BZQJ0154-1346 , QSO RLoud flat radio sp. , 28.62229 , -13.77653 , 1.01 ,  , 74 ,  ,  , 0.04 , 
303 , 5BZBJ0154+4433 , BL Lac , 28.72692 , 44.56053 ,  ,  , 37 ,  , 18.9 , 0.1 , 4e-10
304 , 5BZQJ0154+4743 , QSO RLoud flat radio sp. , 28.73454 , 47.72403 , 1.026 ,  , 275 , 429 , 19 ,  , 
305 , 5BZQJ0155+0438 , QSO RLoud flat radio sp. , 28.76554 , 4.64175 , 1.132 ,  , 323 ,  , 18.4 , 0.23 , 
306 , 5BZQJ0155+2230 , QSO RLoud flat radio sp. , 28.99558 , 22.50331 , 1.456 ,  , 253 ,  , 20.3 ,  , 
307 , 5BZBJ0156-5302 , BL Lac , 29.24167 , -53.03333 ,  ,  , 43 ,  , 16.8 , 4.92 , 8e-10
308 , 5BZQJ0157+7442 , QSO RLoud flat radio sp. , 29.39567 , 74.712 , 2.341 ,  , 1801 ,  , 16.7 , 0.22 , 
309 , 5BZQJ0157-4614 , QSO RLoud flat radio sp. , 29.46304 , -46.23978 , 2.287 ,  , 224 ,  , 21.4 , 0.07 , 5e-10
310 , 5BZBJ0158-3932 , BL Lac , 29.65883 , -39.53439 ,  ,  , 132 ,  , 17.7 , 0.19 , 9e-10
311 , 5BZUJ0158+0101 , Blazar Uncertain type , 29.71988 , 1.02578 , 0.952 ,  ?  , 82 ,  , 20.7 ,  , 4e-10
312 , 5BZBJ0159+1047 , BL Lac , 29.89329 , 10.78486 , 0.195 ,  , 47 ,  , 17.4 , 1.75 , 1.1e-9
313 , 5BZBJ0159-2740 , BL Lac , 29.93062 , -27.67728 ,  ,  , 103 ,  , 15.9 , 0.38 , 6e-10
314 , 5BZQJ0159-5143 , QSO RLoud flat radio sp. , 29.99913 , -51.72631 , 2.39 ,  , 88 ,  , 17.6 ,  , 
315 , 5BZBJ0200+2712 , BL Lac , 30.12271 , 27.2105 ,  ,  , 16 ,  , 19.1 , 1.54 , 
316 , 5BZBJ0201+0034 , BL Lac , 30.27575 , 0.56672 , 0.298 ,  , 13 ,  , 18.1 , 3.53 , 
317 , 5BZQJ0202+3943 , QSO RLoud flat radio sp. , 30.50692 , 39.72267 , 0.78 ,  ?  , 93 ,  , 18.5 ,  , 
318 , 5BZGJ0202-0559 , BL Lac-galaxy dominated , 30.52858 , -5.98336 , 0.189 ,  , 213 ,  , 17.6 , 0.31 , 
319 , 5BZQJ0202-1948 , QSO RLoud flat radio sp. , 30.55771 , -19.80542 , 0.493 ,  , 274 ,  , 18.3 ,  , 
320 , 5BZBJ0202+0849 , BL Lac , 30.61004 , 8.82044 ,  ,  , 135 ,  , 19.1 , 1.15 , 9e-10
321 , 5BZBJ0202+4205 , BL Lac Candidate , 30.68188 , 42.08786 ,  ,  , 167 ,  , 18.8 ,  , 
322 , 5BZBJ0203+7232 , BL Lac , 30.88908 , 72.54825 ,  ,  , 229 ,  , 14.8 , 0.09 , 1e-9
323 , 5BZBJ0203+3042 , BL Lac , 30.93446 , 30.7105 , 0.761 ,  , 175 ,  , 19.1 ,  , 6e-10
324 , 5BZQJ0203+1134 , QSO RLoud flat radio sp. , 30.94442 , 11.57928 , 3.639 ,  , 781 ,  , 19.5 , 0.48 , 
325 , 5BZGJ0204+4005 , BL Lac-galaxy dominated , 31.02167 , 40.08431 , 0.007 ,  , 50 ,  , 13.6 , 0.39 , 
326 , 5BZBJ0204-3333 , BL Lac , 31.05329 , -33.56142 , 0.617 ,  , 6 ,  , 19.1 , 1.44 , 
327 , 5BZUJ0204+1514 , Blazar Uncertain type , 31.21004 , 15.23639 , 0.833 ,  ?  , 4068 , 435 , 22 , 0.02 , 8e-10
328 , 5BZQJ0204-5146 , QSO RLoud flat radio sp. , 31.21238 , -51.78303 , 1.42 ,  , 103 ,  , 16.1 ,  , 
329 , 5BZQJ0204-1701 , QSO RLoud flat radio sp. , 31.24029 , -17.02217 , 1.74 ,  , 1220 , 496 , 17.4 , 0.57 , 7e-10
330 , 5BZQJ0205+3212 , QSO RLoud flat radio sp. , 31.27054 , 32.20836 , 1.466 ,  , 657 , 779 , 17.9 , 0.5 , 5e-10
331 , 5BZQJ0205+1444 , QSO RLoud flat radio sp. , 31.30467 , 14.74233 , 2.85 ,  , 198 ,  , 21.5 ,  , 
332 , 5BZQJ0205+3932 , QSO RLoud flat radio sp. , 31.30833 , 39.54917 , 0.454 ,  , 51 ,  , 19 ,  , 
333 , 5BZQJ0206-1150 , QSO RLoud flat radio sp. , 31.60867 , -11.84436 , 1.663 ,  , 168 ,  , 19.8 , 0.19 , 7e-10
334 , 5BZQJ0206-6143 , QSO RLoud flat radio sp. , 31.66667 , -61.72561 , 0.732 ,  , 233 ,  , 20.3 ,  , 
335 , 5BZBJ0207-6837 , BL Lac , 31.96221 , -68.632 ,  ,  , 310 ,  , 19 , 0.14 , 3e-10
336 , 5BZQJ0208-6216 , QSO RLoud flat radio sp. , 32.00487 , -62.27653 , 2.382 ,  , 204 ,  , 17.7 ,  , 
337 , 5BZBJ0208-0047 , BL Lac , 32.10979 , -0.79567 ,  ,  , 579 ,  , 20.5 ,  , 
338 , 5BZBJ0208+3523 , BL Lac , 32.159 , 35.38692 , 0.318 ,  , 5 ,  , 18.8 , 2.88 , 6e-10
339 , 5BZBJ0209+4449 , BL Lac Candidate , 32.32042 , 44.82969 ,  ,  , 29 ,  , 18.1 , 5.65 , 
340 , 5BZBJ0209-5229 , BL Lac , 32.34004 , -52.48961 ,  ,  , 77 ,  , 14.5 , 7.98 , 1.5e-9
341 , 5BZQJ0209-0438 , QSO RLoud flat radio sp. , 32.37821 , -4.64058 , 1.128 ,  , 219 ,  , 16.7 , 0.37 , 
342 , 5BZQJ0209+1352 , QSO RLoud flat radio sp. , 32.4 , 13.86686 , 0.631 ,  , 466 ,  , 20.1 ,  , 
343 , 5BZUJ0209+7229 , Blazar Uncertain type , 32.46579 , 72.49075 , 0.895 ,  ?  , 669 ,  , 21 , 0.16 , 
344 , 5BZQJ0210-1003 , QSO RLoud flat radio sp. , 32.50087 , -10.06506 , 1.976 ,  , 266 ,  , 19.3 , 0.07 , 
345 , 5BZUJ0210-5101 , Blazar Uncertain type , 32.6925 , -51.01719 , 1.003 ,  , 3493 , 1297 , 14.8 , 0.75 , 3.8e-9
346 , 5BZBJ0211+1051 , BL Lac , 32.80492 , 10.85967 ,  ,  , 319 , 1228 , 15.4 , 3.83 , 2.6e-9
347 , 5BZUJ0211-1558 , Blazar Uncertain type , 32.95733 , -15.97192 , 0.177 ,  , 95 ,  , 17.1 , 0.75 , 
348 , 5BZBJ0212-3503 , BL Lac , 33.12713 , -35.05844 , 0.393 ,  ?  , 18 ,  , 18.7 , 1.91 , 
349 , 5BZBJ0212+2244 , BL Lac , 33.22008 , 22.74778 , 0.459 ,  , 67 ,  , 17 , 1.42 , 1e-9
350 , 5BZBJ0213+1213 , BL Lac , 33.27158 , 12.21969 ,  ,  , 132 ,  , 20.8 ,  , 
351 , 5BZQJ0213+1820 , QSO RLoud flat radio sp. , 33.29387 , 18.34039 , 1.817 ,  , 116 ,  , 20.1 ,  , 
352 , 5BZGJ0214+5144 , BL Lac-galaxy dominated , 33.57471 , 51.74778 , 0.049 ,  , 294 ,  , 16.5 , 4.58 , 
353 , 5BZQJ0215-0222 , QSO RLoud flat radio sp. , 33.92508 , -2.38244 , 1.177 ,  , 482 ,  , 20.7 , 0.27 , 
354 , 5BZQJ0216-0118 , QSO RLoud flat radio sp. , 34.02358 , -1.30092 , 2.803 ,  , 122 ,  , 18.7 ,  , 
355 , 5BZQJ0216-0105 , QSO RLoud flat radio sp. , 34.05088 , -1.08856 , 1.492 ,  , 141 ,  , 17.7 , 0.18 , 
356 , 5BZBJ0216+2314 , BL Lac Candidate , 34.13371 , 23.24728 , 0.288 ,  , 36 ,  , 18.4 , 5.02 , 
357 , 5BZQJ0216-7331 , QSO RLoud flat radio sp. , 34.186 , -73.52789 , 2.679 ,  , 101 ,  , 19 , 0.05 , 
358 , 5BZQJ0216-3247 , QSO RLoud flat radio sp. , 34.20079 , -32.79469 , 1.331 ,  , 166 ,  , 18.3 , 0.2 , 
359 , 5BZBJ0216-6636 , BL Lac , 34.21187 , -66.61181 ,  ,  , 103 ,  , 17.1 , 2.71 , 7e-10
360 , 5BZUJ0217-0820 , Blazar Uncertain type , 34.26108 , -8.34789 , 0.607 ,  , 418 , 424 , 18.3 , 0.68 , 4e-10
361 , 5BZBJ0217+0837 , BL Lac , 34.32137 , 8.61778 ,  ,  , 315 , 387 , 17.4 , 0.71 , 1.6e-9
362 , 5BZQJ0217+7349 , QSO RLoud flat radio sp. , 34.37837 , 73.82572 , 2.367 ,  , 2272 , 1050 , 18.9 , 0.54 , 7e-10
363 , 5BZQJ0217-7251 , QSO RLoud flat radio sp. , 34.39875 , -72.85775 , 0.293 ,  , 150 ,  , 16.6 ,  , 
364 , 5BZQJ0217-7347 , QSO RLoud flat radio sp. , 34.43796 , -73.78978 , 1.234 ,  , 189 ,  , 19.5 , 0.26 , 
365 , 5BZQJ0217+0144 , QSO RLoud flat radio sp. , 34.45396 , 1.74714 , 1.715 ,  , 751 , 1546 , 16.2 , 0.56 , 5.7e-9
366 , 5BZQJ0218-0923 , QSO RLoud flat radio sp. , 34.64321 , -9.394 , 1.447 ,  , 156 ,  , 18.4 ,  , 
367 , 5BZBJ0219-1725 , BL Lac , 34.77292 , -17.42031 , 0.128 ,  , 62 ,  , 17.1 , 0.73 , 4e-10
368 , 5BZQJ0219+0120 , QSO RLoud flat radio sp. , 34.77925 , 1.34997 , 1.623 ,  , 478 ,  , 19.1 ,  , 
369 , 5BZBJ0219-1842 , BL Lac , 34.83817 , -18.71075 ,  ,  , 302 ,  , 19.4 ,  , 
370 , 5BZQJ0220-1305 , QSO RLoud flat radio sp. , 35.11758 , -13.08864 , 1.445 ,  , 357 ,  , 16.1 ,  , 
371 , 5BZQJ0220-2151 , QSO RLoud flat radio sp. , 35.14646 , -21.85336 , 2.552 ,  , 137 ,  , 18.6 ,  , 
372 , 5BZBJ0220-0842 , BL Lac , 35.20192 , -8.714 , 0.525 ,  , 66 ,  , 18.3 , 0.89 , 
373 , 5BZUJ0220+2509 , Blazar Uncertain type , 35.2135 , 25.15767 , 0.482 ,  , 146 ,  , 18.8 ,  , 4e-10
374 , 5BZQJ0220-6330 , QSO RLoud flat radio sp. , 35.22571 , -63.50539 , 1.478 ,  , 380 ,  , 18.9 , 0.13 , 
375 , 5BZUJ0221+3556 , Blazar Uncertain type , 35.27275 , 35.93714 , 0.944 ,  , 1707 , 492 , 19.6 , 0.37 , 5.3e-9
376 , 5BZQJ0222-1615 , QSO RLoud flat radio sp. , 35.50304 , -16.25458 , 0.698 ,  , 590 ,  , 18.4 , 0.25 , 6e-10
377 , 5BZBJ0222+4302 , BL Lac , 35.66504 , 43.0355 ,  ,  , 2303 , 498 , 14.5 , 2.29 , 2.56e-8
378 , 5BZQJ0222-3441 , QSO RLoud flat radio sp. , 35.735 , -34.69131 , 1.49 ,  , 683 , 305 , 21 ,  , 
379 , 5BZBJ0223-1117 , BL Lac , 35.80933 , -11.29397 ,  ,  , 14 ,  , 18.1 , 0.56 , 3e-10
380 , 5BZQJ0223-5347 , QSO RLoud flat radio sp. , 35.87863 , -53.79442 , 0.569 ,  , 184 ,  , 19.1 ,  , 
