id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
2691 , 5BZBJ1637+4326 , BL Lac , 249.28963 , 43.43344 , 0.344 ,  , 49 ,  , 17.9 , 0.13 , 
2692 , 5BZBJ1637+1314 , BL Lac , 249.31975 , 13.24411 ,  ,  , 11 ,  , 19 , 0.44 , 
2693 , 5BZGJ1637+4547 , BL Lac-galaxy dominated , 249.36108 , 45.79694 , 0.192 ,  , 45 ,  , 17.2 , 0.66 , 
2694 , 5BZQJ1637+4717 , QSO RLoud flat radio sp. , 249.43804 , 47.29272 , 0.735 ,  , 1062 , 861 , 19.3 , 0.23 , 1.8e-9
2695 , 5BZBJ1638+7326 , BL Lac Candidate , 249.50692 , 73.43772 ,  ,  , 5 ,  , 19.8 , 0.5 , 
2696 , 5BZQJ1638+5720 , QSO RLoud flat radio sp. , 249.55608 , 57.34 , 0.751 ,  , 1199 , 702 , 16.8 , 1.04 , 
2697 , 5BZQJ1638-0340 , QSO RLoud flat radio sp. , 249.58021 , -3.66808 , 2.871 ,  , 449 ,  , 21.8 ,  , 
2698 , 5BZQJ1639+5357 , QSO RLoud flat radio sp. , 249.916 , 53.96308 , 1.977 ,  , 322 ,  , 19.7 , 0.04 , 
2699 , 5BZQJ1639+4705 , QSO RLoud flat radio sp. , 249.98325 , 47.08989 , 0.86 ,  , 227 ,  , 18.2 , 0.06 , 
2700 , 5BZQJ1640+3946 , QSO RLoud flat radio sp. , 250.12346 , 39.77944 , 1.66 ,  , 976 , 332 , 19.5 , 0.15 , 3.8e-9
2701 , 5BZQJ1641+2257 , QSO RLoud flat radio sp. , 250.35512 , 22.95111 , 2.063 ,  , 304 ,  , 18.9 , 0.16 , 
2702 , 5BZBJ1642-0621 , BL Lac , 250.50908 , -6.35658 ,  ,  , 1220 , 669 , 19.4 , 0.29 , 1.1e-9
2703 , 5BZQJ1642+6856 , QSO RLoud flat radio sp. , 250.53271 , 68.94439 , 0.751 ,  , 1720 , 1255 , 18.6 , 0.32 , 
2704 , 5BZBJ1642+2211 , BL Lac , 250.58467 , 22.19539 , 0.592 ,  , 15 ,  , 18.7 , 1.44 , 
