SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
 167    9.79    0.17    1002    9.95    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 168    9.98    0.17    1002   10.15    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 169    9.48    0.17    1002    9.60    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 170    9.71    0.17    1002    9.85    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 171   10.21    0.17    1012   10.43    0.17    1012   10.58    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 172    9.62    0.17    1002    9.76    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 173    9.36    0.00       1    9.55    0.00       1    9.66    0.00       1    9.77    0.00       1    9.88    0.00       1
 174   10.13    0.17    1012   10.35    0.17    1012   10.47    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 175   10.36    0.00       1   10.65    0.00       1   10.80    0.00       1   10.91    0.00       1   11.05    0.00       1
 176   10.17    0.17    1002   10.36    0.17    1002   10.45    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 177    3.36    1.22    1002    2.89    0.68    1002    3.06    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 178    9.94    0.00       1   10.19    0.00       1   10.33    0.00       1   10.45    0.00       1   10.54    0.00       1
 179    4.12    1.22    1002    3.73    0.68    1002    4.23    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 180   10.27    0.17    1012   10.50    0.17    1012   10.61    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 181    9.85    0.00       1   10.15    0.00       1   10.31    0.00       1   10.44    0.00       1   10.54    0.00       1
 182    9.40    0.00       1    9.68    0.00       1    9.80    0.00       1    9.92    0.00       1   10.02    0.00       1
 183    9.86    0.17    1012   10.05    0.17    1012    9.89    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 184    9.62    0.17    1012    9.79    0.17    1012    9.83    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 185    9.38    0.17    1002    9.49    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
