SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
 134   18.23    0.43    1002   16.70    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 135   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 136   15.65    0.43    1012   13.88    0.43    1012   13.88    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 137   16.70    0.43    1002   15.11    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 138   16.72    0.43    1002   15.14    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 139   15.86    0.43    1002   14.25    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 140   18.09    0.43    1002   16.64    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 141   16.84    0.43    1002   15.27    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 142   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 143   15.57    0.43    1012   13.80    0.43    1012   13.04    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 144   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 145   15.45    0.43    1002   13.75    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 146   15.55    0.43    1002   13.86    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 147   14.73    0.43    1002   12.98    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 148   16.37    0.43    1012   14.66    0.43    1012   13.99    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 149   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 150   12.77    0.43    1012   10.96    0.43    1012   10.15    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 151   15.30    0.43    1002   13.58    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 152   17.63    0.43    1002   16.14    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 153   16.82    0.43    1002   15.25    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 154   18.38    0.43    1002   16.96    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 155   15.69    0.43    1002   14.02    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 156   16.75    0.43    1002   15.17    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 157   15.19    0.43    1012   13.39    0.43    1012   12.75    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 158   18.06    0.43    1002   16.61    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 159   16.27    0.43    1002   14.65    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 160   15.78    0.43    1012   14.03    0.43    1012   13.56    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 161   16.47    0.43    1002   14.86    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 162   16.45    0.43    1002   14.84    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 163   16.75    0.43    1002   15.17    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 164   16.17    0.43    1002   14.54    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 165   16.15    0.43    1002   14.52    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 166   16.79    0.43    1002   15.23    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
