Standard-system magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (5) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent U-band magnitude, m_U, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_U.
Column 4: The sources for the quoted values for m_U and their uncertainties.
Column 5: The apparent B-band magnitude, m_B, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_B.
Column 7: The sources for the quoted values for m_B and their uncertainties. 
Column 8: The apparent V-band magnitude, m_V, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_V.
Column 10: The sources for the quoted values for m_V and their uncertainties.
Column 11: The apparent I-band magnitude, m_I, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_I.
Column 13: The sources for the quoted values for m_I and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   m_U      dm_U       s.  m_B      dm_B       s.  m_V      dm_V       s.  m_I      dm_I      s. 
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 200   -9.99   -9.99       0   15.60   -9.99       1   14.88   -9.99       6   17.24   -9.99       6
 201   13.32   -9.99       1   13.08   -9.99       1   12.27   -9.99       1   -9.99   -9.99       0
 202   -9.99   -9.99       0   16.94   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 203   -9.99   -9.99       0   18.95   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 204   -9.99   -9.99       0   18.27   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 205   -9.99   -9.99       0   16.40   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 206   -9.99   -9.99       0   18.28   -9.99       1   17.76   -9.99       5   16.20   -9.99       3
 207   13.38   -9.99       1   13.10   -9.99       1   12.37   -9.99       1   10.78   -9.99       6
 208   -9.99   -9.99       0   17.28   -9.99       1   16.67   -9.99       5   15.52   -9.99       3
 209   -9.99   -9.99       0   17.57   -9.99       1   16.75   -9.99       5   15.86   -9.99       3
 210   -9.99   -9.99       0   17.74   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 211   -9.99   -9.99       0   19.17   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 212   -9.99   -9.99       0   17.84   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 213   12.92   -9.99       1   12.45   -9.99       1   11.55   -9.99       1   -9.99   -9.99       0
 214   -9.99   -9.99       0   17.20   -9.99       1   16.54   -9.99       5   15.61   -9.99       3
 215   -9.99   -9.99       0   16.76   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 216   -9.99   -9.99       0   16.13   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 217   -9.99   -9.99       0   18.47   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 218   -9.99   -9.99       0   19.07   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 219   -9.99   -9.99       0   17.97   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 220   -9.99   -9.99       0   18.98   -9.99       1   18.14   -9.99       5   -9.99   -9.99       0
 221   -9.99   -9.99       0   15.64   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 222   -9.99   -9.99       0   16.14   -9.99       1   15.45   -9.99       5   14.39   -9.99       3
 223   12.69   -9.99       1   12.35   -9.99       1   11.51   -9.99       1    9.71   -9.99       3
